dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,roughness,slope,aspect,profile,plan,Landslide
1507.0,6.0,6.0,-0.47023189067840576,301.0,50.0,66.0,501.0,12.729965209960938,-4777.92333984375,9.899495124816895,11.0,17.34932518005371,140.19442749023438,0.006386781111359596,-0.0030225098598748446,0
1051.0,6.0,6.0,-0.5058094263076782,200.0,450.0,66.0,501.0,7.42277717590332,6742.6728515625,7.348469257354736,6.0,13.674945831298828,99.46231842041016,-0.012059377506375313,-0.024882009252905846,0
1227.0,6.0,6.0,-0.8152173757553101,150.0,150.0,66.0,500.0,13.313553810119629,-1644.3211669921875,6.164413928985596,6.0,8.206727027893066,303.6900634765625,-0.020048178732395172,0.010240619070827961,0
872.0,6.0,6.0,-0.570341169834137,200.0,501.0,66.0,501.0,12.767640113830566,-697.41650390625,11.090536117553711,10.0,17.744670867919922,180.0,0.011058625765144825,0.03999999910593033,0
2107.0,6.0,6.0,-0.786223292350769,301.0,501.0,66.0,200.0,15.079861640930176,-15198.34765625,7.937253952026367,9.0,14.366056442260742,218.65980529785156,-0.0007095366017892957,-0.021940508857369423,0
1368.0,6.0,6.0,-0.4251032769680023,300.0,50.0,81.0,501.0,13.623894691467285,-3543.87109375,8.5440034866333,10.0,14.366056442260742,128.65980529785156,-0.006385829299688339,0.002437834395095706,0
1210.0,6.0,6.0,-0.497183620929718,150.0,500.0,66.0,300.0,14.685990333557129,-1961.758544921875,9.32737922668457,10.0,15.020256996154785,26.565052032470703,-0.01037911418825388,-0.028621669858694077,0
1623.0,7.0,4.0,-0.28745123744010925,150.0,200.0,37.0,501.0,14.105643272399902,-1973.7696533203125,9.949873924255371,9.0,17.874008178710938,187.12501525878906,8.488148887408897e-05,0.019540240988135338,0
1420.0,7.0,6.0,-0.4368972182273865,301.0,450.0,81.0,501.0,7.482616424560547,5700.859375,11.313708305358887,11.0,19.91116714477539,186.34019470214844,0.004022061359137297,-0.013359521515667439,0
1962.0,7.0,6.0,-0.5541951656341553,301.0,300.0,66.0,501.0,8.290884017944336,77.39139556884766,12.12435531616211,14.0,18.98798179626465,144.4623260498047,0.004131435416638851,0.022998182103037834,0
1734.0,6.0,6.0,-0.7500821948051453,100.0,501.0,66.0,501.0,14.221992492675781,-4618.09033203125,6.633249759674072,6.0,11.309932708740234,180.0,0.00603434257209301,-0.0,0
1495.0,6.0,6.0,-0.7679449319839478,100.0,501.0,66.0,501.0,13.43401050567627,-1008.3471069335938,10.24695110321045,10.0,17.874008178710938,7.125016212463379,-0.001442985376343131,-0.01465518120676279,0
1521.0,5.0,6.0,-0.46282875537872314,300.0,150.0,66.0,501.0,12.960643768310547,-1509.87353515625,13.711309432983398,12.0,23.83653450012207,185.19442749023438,0.00489800376817584,0.014485719613730907,0
2325.0,6.0,6.0,-0.8213639259338379,100.0,501.0,37.0,501.0,6.022371292114258,140.22520446777344,10.770329475402832,10.0,16.23579216003418,105.94539642333984,0.01581762544810772,0.048516787588596344,0
1790.0,6.0,6.0,-0.8142523169517517,301.0,501.0,66.0,500.0,13.616881370544434,-1390.01513671875,13.416407585144043,14.0,24.0948429107666,243.43495178222656,0.005842374172061682,0.0257595032453537,0
1983.0,6.0,6.0,-0.7559949159622192,200.0,501.0,66.0,501.0,7.165167808532715,44.544857025146484,8.602325439453125,9.0,12.74985122680664,315.0,0.017814481630921364,0.02828427031636238,0
1641.0,6.0,6.0,-0.7157008647918701,250.0,501.0,66.0,501.0,16.30927848815918,-24077.18359375,9.539392471313477,9.0,17.744670867919922,180.0,-0.0,-0.0,0
2069.0,6.0,6.0,-0.7870289087295532,250.0,501.0,66.0,501.0,13.18953800201416,-907.6576538085938,6.324555397033691,6.0,11.527973175048828,258.6900634765625,-0.005557332653552294,0.028964845463633537,0
1102.0,6.0,6.0,-0.4770466387271881,300.0,50.0,66.0,501.0,13.018567085266113,-765.0158081054688,7.280109882354736,8.0,11.527973175048828,258.6900634765625,0.00891488790512085,0.016292724758386612,0
1089.0,4.0,4.0,-0.22142857313156128,100.0,300.0,66.0,501.0,13.00471019744873,-656.3978881835938,9.949873924255371,11.0,17.874008178710938,299.744873046875,-0.006535875145345926,0.0036637953016906977,0
1734.0,6.0,6.0,-0.7684667706489563,150.0,200.0,81.0,501.0,7.19003963470459,4254.76904296875,12.165525436401367,12.0,19.91116714477539,173.65980529785156,0.004735653288662434,0.019608329981565475,0
1522.0,6.0,6.0,-0.4737747013568878,301.0,50.0,66.0,501.0,12.818138122558594,-5218.33447265625,11.313708305358887,11.0,17.34932518005371,50.194427490234375,0.022262495011091232,0.020485900342464447,0
1444.0,6.0,6.0,-0.7628032565116882,100.0,501.0,66.0,501.0,7.2439680099487305,475.72808837890625,9.848857879638672,10.0,16.23579216003418,164.0546112060547,-0.006733178626745939,0.004146733786910772,0
576.0,6.0,6.0,-0.6341189742088318,50.0,200.0,66.0,501.0,12.71786117553711,-4720.43896484375,9.848857879638672,11.0,17.34932518005371,320.1944274902344,0.00501818535849452,0.0020150067284703255,0
1586.0,5.0,6.0,-0.7897067070007324,50.0,501.0,66.0,501.0,16.017587661743164,-7429.34765625,8.366600036621094,9.0,15.020256996154785,153.43495178222656,0.004612939897924662,0.004770278465002775,0
1744.0,5.0,6.0,-0.6956083178520203,150.0,501.0,66.0,150.0,14.268896102905273,-160.6949920654297,11.0,13.0,18.747791290283203,135.0,0.0013585975393652916,-0.004714045207947493,0
