dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,slope,aspect,profile,plan,Landslide
768,7,6,-0.755313039,1,500,36,501,6.449411869,80.93828583,11.48912525,19.68572998,26.56505203,0.004273722,0.021466253,0
223,6,1,-0.769380391,4,500,22,501,7.135746002,251.2147675,13.45362377,24.09484291,243.4349518,0.002921187,0.005724334,0
589,6,6,-0.718135655,1,501,12,50,6.324202061,60.70088196,11.78982639,18.25505829,345.9637451,0.009028368,0.045653764,0
1184,6,1,-0.784055948,4,501,35,501,10.28235817,3785.9646,11.09053612,19.79887581,90,-0.005330807,0,0
316,5,1,-0.678666651,5,501,22,501,7.201135635,175.9329681,11.3578167,19.91116714,263.6598206,0.006325016,0.04966725,0
239,5,1,-0.800366282,3,501,15,501,7.311429977,98.22396851,9.539392471,14.36605644,128.6598053,-0.012062122,0.026816178,0
674,6,1,-0.779411793,1,501,27,500,8.553282738,82.93986511,5.19615221,7.20912075,108.4349518,-0.009686594,0.078424484,0
401,6,1,-0.784568727,6,501,18,501,7.826117039,200.4147034,9.591663361,15.79316902,351.8699036,-0.004675824,0.018554483,0
113,5,1,-0.746056795,3,501,22,501,9.737347603,542.0337524,6.324555397,10.14210606,243.4349518,-0.007325574,-0.02862167,0
785,6,1,-0.80825305,2,501,27,200,6.494493961,71.97003937,10.04987526,18.25505829,75.96375275,0.014187436,0.027392259,0
589,6,1,-0.728948295,1,501,13,501,7.465614319,13.97542572,3.741657495,5.111089706,116.5650482,0.007588753,0.128797516,0
1142,6,1,-0.786185026,1,500,36,50,8.76286602,746.6328735,10.86278057,18.86838341,249.4439545,0.009731175,-0.014878656,0
286,5,1,-0.493719071,2,500,27,501,8.60942173,324.5980225,7.211102486,13.67494583,9.462322235,-0.000634704,-0.02346018,0
73,5,6,-0.732347667,4,200,11,501,7.364548206,328.4324341,13.45362377,24.51631355,127.8749847,-1.85E-05,5.40E-05,0
345,5,1,-0.797570884,1,501,29,501,7.46769762,204.4667358,11.04536057,18.86838341,159.4439545,-0.000222851,0.019496169,0
469,5,1,-0.80119282,1,501,29,500,8.152985573,377.9423218,10.48808861,18.25505829,165.9637604,-0.010318135,-0.002282688,0
600,5,1,-0.57851243,3,501,15,500,7.784853935,311.5473022,11.83216,19.79887581,90,0.005330807,0.035555556,0
1071,6,6,-0.752365887,2,501,34,501,8.663040161,934.871582,11.91637516,21.89988136,354.2893982,0.000202457,-0.016551113,0
351,5,1,-0.708879173,4,501,22,501,10.29033375,1931.696655,7.937253952,14.36605644,308.6598206,0.006385829,-0.002437834,0
1144,6,1,-0.715517223,2,501,36,501,6.404788017,71.60046387,14.17744732,18.9879818,125.5376816,0.00318084,0.026265683,0
354,5,1,-0.778921723,1,500,29,501,7.606554985,263.8874817,12,19.91116714,83.6598053,-0.004605909,0.015298806,0
1010,6,1,-0.729539871,1,501,5,501,6.707629681,58.94121552,10,15.020257,206.5650482,0.025371168,0.014310835,0
282,6,1,-0.788571417,4,501,25,500,8.175299644,142.0847321,6.244997978,11.30993271,143.1300964,0.002172363,0.020479999,0
543,6,1,-0.787280679,3,501,13,200,8.296756744,256.6940002,8.306623459,14.1969471,161.5650482,0.000874699,-0.003794733,0
208,6,6,-0.691075504,3,200,29,501,7.232481003,188.1765442,12,20.24305534,310.6012878,0.006964847,-0.005512586,0
155,7,1,-0.586005867,1,501,27,501,7.948956013,385.2357788,11.66190338,20.24305534,130.6012878,-0.011442249,-0.014496059,0
133,5,1,-0.651827872,5,500,21,501,11.66390419,10792.37891,9.433980942,16.94235802,246.8014069,0.006906325,-0.025899062,0
57,6,1,-0.730296671,4,500,23,501,7.995184898,427.1959229,11.2694273,20.7804184,288.4349365,-0.004445902,-0.019395303,0
141,6,1,-0.694812536,1,500,22,501,7.483519554,321.5509033,13.11487675,23.0354805,221.1859283,-0.00092695,-0.012254346,0
164,6,1,-0.732636631,1,501,23,501,8.123723984,1144.312134,17.34935188,30.21689796,344.0545959,0.000545424,-0.001451357,0
338,6,1,-0.777420402,3,501,27,501,11.44635868,12125.37793,12,19.79887581,90,-0.005330807,-0.071111113,0
287,5,6,-0.72963506,2,100,35,500,7.638438225,212.6334076,10.77032948,17.74467087,90,-0.011058626,0,0
84,6,4,-0.708772838,1,500,16,501,7.560212135,319.5301819,12.04159451,22.19160652,11.30993271,0.000488512,-0.001508586,0
231,5,1,-0.724279821,3,500,22,501,6.987858295,22.53469467,5.291502476,8.206727028,33.69006729,0.000954675,0.037548937,0
901,6,1,-0.749680698,1,501,27,501,7.370809555,81.35269165,7.549834251,12.74985123,135,0.00445362,0.035355341,0
936,6,6,-0.783267796,1,501,15,50,8.836510658,748.6463013,10.63014603,18.25505829,75.96375275,-0.011607902,-0.036523011,0
779,6,1,-0.746636748,3,501,5,501,7.993159771,402.6467285,10.77032948,20.24305534,220.6012878,0.001741212,0.011637681,0
477,7,6,-0.565656602,2,501,34,501,8.331581116,591.3838501,11.13552856,20.67446327,237.9946136,-0.005005893,-0.000762246,0
39,7,6,-0.690818429,3,100,5,501,7.677472115,335.1008301,12.2882061,21.50217438,203.9624939,0.006217393,-0.003349596,0
501,6,6,-0.788355887,3,501,29,501,10.20917702,868.8391113,7.745966911,10.14210606,333.4349365,-0.014651149,-0.05724334,0
422,6,1,-0.757634223,4,500,15,501,8.117875099,139.5216217,7.280109882,11.52797318,348.6900635,0.00567311,-0.092325442,0
528,7,4,-0.609390318,5,501,15,50,9.603699684,1256.694092,8.717798233,16.23579216,285.9454041,-0.002992524,-0.010366835,0
724,6,6,-0.721179605,1,501,27,50,8.652162552,183.1202698,6.324555397,10.14210606,116.5650482,0.002441858,-0.014310835,0
524,7,6,-0.688208938,6,501,22,501,9.774035454,562.2893066,5.19615221,10.14210606,153.4349518,-0.003662787,-0.050087921,0
770,6,1,-0.69287467,2,501,5,501,6.788582325,139.1841736,12.2882061,21.60256577,315,0.006429876,0.01212183,0
